Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
P22.5_E25_S300_PosEL_H125,25,22.5,300,EL,2.65998,0.61992,20.25,3.15,0.84
P22.5_E25_S300_PosIL_H125,25,22.5,300,IL,1.96679,0.44181,20.25,3.15,0.62
P25_E25_S200_PosCL_H125,25,25,200,CL,1.02351,1.17149,25,3.5,0.29
P25_E25_S200_PosEL_H125,25,25,200,EL,2.91351,0.658814,25,3.5,0.83
P25_E25_S200_PosIL_H125,25,25,200,IL,2.20687,0.44003,25,3.5,0.63
P25_E25_S225_PosCL_H125,25,25,225,CL,1.01859,1.15731,25,3.5,0.29
P25_E25_S225_PosEL_H125,25,25,225,EL,2.8942,0.657347,25,3.5,0.83
P25_E25_S225_PosIL_H125,25,25,225,IL,2.19188,0.439645,25,3.5,0.63
P25_E25_S250_PosCL_H125,25,25,250,CL,1.01386,1.14377,25,3.5,0.29
P25_E25_S250_PosEL_H125,25,25,250,EL,2.87527,0.655904,25,3.5,0.82
P25_E25_S250_PosIL_H125,25,25,250,IL,2.17718,0.439268,25,3.5,0.62
P25_E25_S275_PosCL_H125,25,25,275,CL,1.00929,1.13083,25,3.5,0.29
P25_E25_S275_PosEL_H125,25,25,275,EL,2.85672,0.654484,25,3.5,0.82
P25_E25_S275_PosIL_H125,25,25,275,IL,2.16277,0.438897,25,3.5,0.62
P25_E25_S300_PosCL_H125,25,25,300,CL,1.00488,1.11844,25,3.5,0.29
P25_E25_S300_PosEL_H125,25,25,300,EL,2.83854,0.653087,25,3.5,0.81
P25_E25_S300_PosIL_H125,25,25,300,IL,2.14865,0.438533,25,3.5,0.61
P27.5_E25_S200_PosCL_H125,25,27.5,200,CL,1.11457,1.22872,30.25,3.85,0.29
P27.5_E25_S200_PosEL_H125,25,27.5,200,EL,3.11025,0.688688,30.25,3.85,0.81
P27.5_E25_S200_PosIL_H125,25,27.5,200,IL,2.37595,0.453874,30.25,3.85,0.62
P27.5_E25_S225_PosCL_H125,25,27.5,225,CL,1.10986,1.21342,30.25,3.85,0.29
P27.5_E25_S225_PosEL_H125,25,27.5,225,EL,3.08942,0.687032,30.25,3.85,0.80
P27.5_E25_S225_PosIL_H125,25,27.5,225,IL,2.35953,0.453432,30.25,3.85,0.61
P27.5_E25_S250_PosCL_H125,25,27.5,250,CL,1.1053,1.1988,30.25,3.85,0.29
P27.5_E25_S250_PosEL_H125,25,27.5,250,EL,3.06901,0.685403,30.25,3.85,0.80
P27.5_E25_S250_PosIL_H125,25,27.5,250,IL,2.34345,0.452999,30.25,3.85,0.61
P27.5_E25_S275_PosCL_H125,25,27.5,275,CL,1.10089,1.18483,30.25,3.85,0.29
P27.5_E25_S275_PosEL_H125,25,27.5,275,EL,3.04901,0.683803,30.25,3.85,0.79
P27.5_E25_S275_PosIL_H125,25,27.5,275,IL,2.32768,0.452573,30.25,3.85,0.60
P27.5_E25_S300_PosCL_H125,25,27.5,300,CL,1.09661,1.17146,30.25,3.85,0.28
P27.5_E25_S300_PosEL_H125,25,27.5,300,EL,3.0294,0.682229,30.25,3.85,0.79
P27.5_E25_S300_PosIL_H125,25,27.5,300,IL,2.31221,0.452154,30.25,3.85,0.60
P30_E25_S200_PosCL_H125,25,30,200,CL,1.19258,1.24991,36,4.2,0.28
P30_E25_S200_PosEL_H125,25,30,200,EL,3.30654,0.723344,36,4.2,0.79
P30_E25_S200_PosIL_H125,25,30,200,IL,2.57157,0.469824,36,4.2,0.61
P30_E25_S225_PosCL_H125,25,30,225,CL,1.18736,1.23445,36,4.2,0.28
P30_E25_S225_PosEL_H125,25,30,225,EL,3.28395,0.721487,36,4.2,0.78
P30_E25_S225_PosIL_H125,25,30,225,IL,2.55354,0.46932,36,4.2,0.61
P30_E25_S250_PosCL_H125,25,30,250,CL,1.1823,1.21969,36,4.2,0.28
P30_E25_S250_PosEL_H125,25,30,250,EL,3.26182,0.719661,36,4.2,0.78
P30_E25_S250_PosIL_H125,25,30,250,IL,2.5359,0.468824,36,4.2,0.60
P30_E25_S275_PosCL_H125,25,30,275,CL,1.1774,1.20558,36,4.2,0.28
P30_E25_S275_PosEL_H125,25,30,275,EL,3.24013,0.717866,36,4.2,0.77
P30_E25_S275_PosIL_H125,25,30,275,IL,2.51861,0.468337,36,4.2,0.60
P30_E25_S300_PosCL_H125,25,30,300,CL,1.17264,1.19208,36,4.2,0.28
P30_E25_S300_PosEL_H125,25,30,300,EL,3.21887,0.716101,36,4.2,0.77
P30_E25_S300_PosIL_H125,25,30,300,IL,2.50165,0.467859,36,4.2,0.60
P20_E30_S200_PosCL_H125,30,20,200,CL,0.878562,1.08018,16,2.8,0.31
P20_E30_S200_PosEL_H125,30,20,200,EL,2.51589,0.601408,16,2.8,0.90
P20_E30_S200_PosIL_H125,30,20,200,IL,1.83213,0.42485,16,2.8,0.65
P20_E30_S225_PosCL_H125,30,20,225,CL,0.875037,1.06911,16,2.8,0.31
P20_E30_S225_PosEL_H125,30,20,225,EL,2.50226,0.600709,16,2.8,0.89
P20_E30_S225_PosIL_H125,30,20,225,IL,1.82183,0.424508,16,2.8,0.65
P20_E30_S250_PosCL_H125,30,20,250,CL,0.871632,1.05847,16,2.8,0.31
P20_E30_S250_PosEL_H125,30,20,250,EL,2.48886,0.600021,16,2.8,0.89
P20_E30_S250_PosIL_H125,30,20,250,IL,1.8117,0.42417,16,2.8,0.65
P20_E30_S275_PosCL_H125,30,20,275,CL,0.868341,1.04824,16,2.8,0.31
P20_E30_S275_PosEL_H125,30,20,275,EL,2.47569,0.599342,16,2.8,0.88
P20_E30_S275_PosIL_H125,30,20,275,IL,1.80174,0.423837,16,2.8,0.64
P20_E30_S300_PosCL_H125,30,20,300,CL,0.865159,1.03839,16,2.8,0.31
P20_E30_S300_PosEL_H125,30,20,300,EL,2.46275,0.598673,16,2.8,0.88
P20_E30_S300_PosIL_H125,30,20,300,IL,1.79194,0.423509,16,2.8,0.64
P22.5_E30_S200_PosCL_H125,30,22.5,200,CL,0.959892,1.09387,20.25,3.15,0.30
