,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
182,P25_E30_S200_PosIL_H60,30,25,200,IL,7.49102,0.710332,36,4.2,1.78
183,P25_E30_S225_PosCL_H60,30,25,225,CL,4.09046,2.50576,36,4.2,0.97
184,P25_E30_S225_PosEL_H60,30,25,225,EL,9.77943,1.5565,36,4.2,2.33
185,P25_E30_S225_PosIL_H60,30,25,225,IL,7.28952,0.706209,36,4.2,1.74
186,P25_E30_S250_PosCL_H60,30,25,250,CL,4.05881,2.43143,36,4.2,0.97
187,P25_E30_S250_PosEL_H60,30,25,250,EL,9.53898,1.54201,36,4.2,2.27
188,P25_E30_S250_PosIL_H60,30,25,250,IL,7.1052,0.702383,36,4.2,1.69
189,P25_E30_S275_PosCL_H60,30,25,275,CL,4.0306,2.36514,36,4.2,0.96
190,P25_E30_S275_PosEL_H60,30,25,275,EL,9.31736,1.52842,36,4.2,2.22
191,P25_E30_S275_PosIL_H60,30,25,275,IL,6.93582,0.698816,36,4.2,1.65
192,P25_E30_S300_PosCL_H60,30,25,300,CL,4.00522,2.30553,36,4.2,0.95
193,P25_E30_S300_PosEL_H60,30,25,300,EL,9.11228,1.51563,36,4.2,2.17
194,P25_E30_S300_PosIL_H60,30,25,300,IL,6.77957,0.695477,36,4.2,1.61
195,P27.5_E30_S200_PosCL_H60,30,27.5,200,CL,4.40416,2.79003,36,4.2,1.05
196,P27.5_E30_S200_PosEL_H60,30,27.5,200,EL,10.5898,1.64774,36,4.2,2.52
197,P27.5_E30_S200_PosIL_H60,30,27.5,200,IL,8.00256,0.741403,36,4.2,1.91
198,P27.5_E30_S225_PosCL_H60,30,27.5,225,CL,4.36437,2.69659,36,4.2,1.04
199,P27.5_E30_S225_PosEL_H60,30,27.5,225,EL,10.3075,1.62621,36,4.2,2.45
