Thickness_mm,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Flexure_SR
60,35,27.5,275,IL,1.57
60,35,27.5,300,CL,0.88
60,35,27.5,300,EL,2.04
60,35,27.5,300,IL,1.54
60,35,30,200,CL,0.97
60,35,30,200,EL,2.35
60,35,30,200,IL,1.82
60,35,30,225,CL,0.96
60,35,30,225,EL,2.29
60,35,30,225,IL,1.77
60,35,30,250,CL,0.95
60,35,30,250,EL,2.23
60,35,30,250,IL,1.72
60,35,30,275,CL,0.95
60,35,30,275,EL,2.18
60,35,30,275,IL,1.68
60,35,30,300,CL,0.94
60,35,30,300,EL,2.13
60,35,30,300,IL,1.65
75,20,20,200,CL,0.83
75,20,20,200,EL,2.09
75,20,20,200,IL,1.51
75,20,20,225,CL,0.83
75,20,20,225,EL,2.05
75,20,20,225,IL,1.48
75,20,20,250,CL,0.82
75,20,20,250,EL,2
75,20,20,250,IL,1.45
75,20,20,275,CL,0.81
75,20,20,275,EL,1.96
75,20,20,275,IL,1.42
75,20,20,300,CL,0.81
75,20,20,300,EL,1.93
75,20,20,300,IL,1.39
75,20,22.5,200,CL,0.83
75,20,22.5,200,EL,2.27
75,20,22.5,200,IL,1.67
75,20,22.5,225,CL,0.83
75,20,22.5,225,EL,2.22
75,20,22.5,225,IL,1.63
75,20,22.5,250,CL,0.82
75,20,22.5,250,EL,2.17
75,20,22.5,250,IL,1.59
75,20,22.5,275,CL,0.81
75,20,22.5,275,EL,2.13
75,20,22.5,275,IL,1.56
75,20,22.5,300,CL,0.81
75,20,22.5,300,EL,2.09
75,20,22.5,300,IL,1.53
75,20,25,200,CL,0.95
75,20,25,200,EL,2.41
75,20,25,200,IL,1.81
75,20,25,225,CL,0.95
75,20,25,225,EL,2.36
75,20,25,225,IL,1.77
75,20,25,250,CL,0.94
75,20,25,250,EL,2.3
75,20,25,250,IL,1.73
75,20,25,275,CL,0.93
75,20,25,275,EL,2.26
75,20,25,275,IL,1.69
75,20,25,300,CL,0.93
75,20,25,300,EL,2.21
75,20,25,300,IL,1.66
75,20,27.5,200,CL,1.03
75,20,27.5,200,EL,2.55
75,20,27.5,200,IL,1.94
75,20,27.5,225,CL,1.02
75,20,27.5,225,EL,2.49
75,20,27.5,225,IL,1.89
75,20,27.5,250,CL,1.01
75,20,27.5,250,EL,2.44
75,20,27.5,250,IL,1.85
75,20,27.5,275,CL,1
75,20,27.5,275,EL,2.38
75,20,27.5,275,IL,1.81
75,20,27.5,300,CL,0.99
75,20,27.5,300,EL,2.34
75,20,27.5,300,IL,1.77
75,20,30,200,CL,1.09
75,20,30,200,EL,2.68
75,20,30,200,IL,2.08
75,20,30,225,CL,1.08
75,20,30,225,EL,2.62
75,20,30,225,IL,2.03
75,20,30,250,CL,1.07
75,20,30,250,EL,2.56
75,20,30,250,IL,1.98
75,20,30,275,CL,1.07
75,20,30,275,EL,2.5
75,20,30,275,IL,1.94
75,20,30,300,CL,1.06
75,20,30,300,EL,2.45
75,20,30,300,IL,1.9
75,25,20,200,CL,0.68
75,25,20,200,EL,1.74
75,25,20,200,IL,1.26
75,25,20,225,CL,0.67
75,25,20,225,EL,1.71
75,25,20,225,IL,1.23
75,25,20,250,CL,0.67
75,25,20,250,EL,1.67
75,25,20,250,IL,1.21
75,25,20,275,CL,0.66
75,25,20,275,EL,1.64
75,25,20,275,IL,1.19
75,25,20,300,CL,0.66
75,25,20,300,EL,1.62
75,25,20,300,IL,1.17
75,25,22.5,200,CL,0.68
75,25,22.5,200,EL,1.89
75,25,22.5,200,IL,1.39
75,25,22.5,225,CL,0.67
75,25,22.5,225,EL,1.85
75,25,22.5,225,IL,1.36
75,25,22.5,250,CL,0.67
75,25,22.5,250,EL,1.82
75,25,22.5,250,IL,1.33
75,25,22.5,275,CL,0.66
75,25,22.5,275,EL,1.78
75,25,22.5,275,IL,1.31
75,25,22.5,300,CL,0.66
75,25,22.5,300,EL,1.75
75,25,22.5,300,IL,1.28
75,25,25,200,CL,0.78
75,25,25,200,EL,2.01
75,25,25,200,IL,1.51
75,25,25,225,CL,0.77
75,25,25,225,EL,1.97
75,25,25,225,IL,1.48
75,25,25,250,CL,0.76
75,25,25,250,EL,1.93
75,25,25,250,IL,1.45
75,25,25,275,CL,0.76
75,25,25,275,EL,1.89
75,25,25,275,IL,1.42
75,25,25,300,CL,0.75
75,25,25,300,EL,1.86
75,25,25,300,IL,1.39
75,25,27.5,200,CL,0.83
75,25,27.5,200,EL,2.13
75,25,27.5,200,IL,1.61
75,25,27.5,225,CL,0.83
75,25,27.5,225,EL,2.08
75,25,27.5,225,IL,1.58
75,25,27.5,250,CL,0.82
75,25,27.5,250,EL,2.04
75,25,27.5,250,IL,1.55
75,25,27.5,275,CL,0.81
75,25,27.5,275,EL,2
75,25,27.5,275,IL,1.52
75,25,27.5,300,CL,0.81
75,25,27.5,300,EL,1.97
75,25,27.5,300,IL,1.49
75,25,30,200,CL,0.89
75,25,30,200,EL,2.24
75,25,30,200,IL,1.74
75,25,30,225,CL,0.88
75,25,30,225,EL,2.19
75,25,30,225,IL,1.7
75,25,30,250,CL,0.87
75,25,30,250,EL,2.15
75,25,30,250,IL,1.66
75,25,30,275,CL,0.87
75,25,30,275,EL,2.11
75,25,30,275,IL,1.63
75,25,30,300,CL,0.86
75,25,30,300,EL,2.07
75,25,30,300,IL,1.6
75,30,20,200,CL,0.57
75,30,20,200,EL,1.49
75,30,20,200,IL,1.08
75,30,20,225,CL,0.57
75,30,20,225,EL,1.46
75,30,20,225,IL,1.06
75,30,20,250,CL,0.56
75,30,20,250,EL,1.44
75,30,20,250,IL,1.04
75,30,20,275,CL,0.56
75,30,20,275,EL,1.42
75,30,20,275,IL,1.03
75,30,20,300,CL,0.55
75,30,20,300,EL,1.4
75,30,20,300,IL,1.01
75,30,22.5,200,CL,0.57
75,30,22.5,200,EL,1.62
75,30,22.5,200,IL,1.19
75,30,22.5,225,CL,0.57
75,30,22.5,225,EL,1.59
75,30,22.5,225,IL,1.17
75,30,22.5,250,CL,0.56
75,30,22.5,250,EL,1.56
75,30,22.5,250,IL,1.15
75,30,22.5,275,CL,0.56
75,30,22.5,275,EL,1.54
75,30,22.5,275,IL,1.13
75,30,22.5,300,CL,0.55
75,30,22.5,300,EL,1.51
75,30,22.5,300,IL,1.11
75,30,25,200,CL,0.65
75,30,25,200,EL,1.72
75,30,25,200,IL,1.3
75,30,25,225,CL,0.65
75,30,25,225,EL,1.69
75,30,25,225,IL,1.27
75,30,25,250,CL,0.64
75,30,25,250,EL,1.66
75,30,25,250,IL,1.25
75,30,25,275,CL,0.64
75,30,25,275,EL,1.63
75,30,25,275,IL,1.23
75,30,25,300,CL,0.64
75,30,25,300,EL,1.61
75,30,25,300,IL,1.21
75,30,27.5,200,CL,0.7
75,30,27.5,200,EL,1.83
75,30,27.5,200,IL,1.39
75,30,27.5,225,CL,0.7
75,30,27.5,225,EL,1.79
75,30,27.5,225,IL,1.36
75,30,27.5,250,CL,0.69
75,30,27.5,250,EL,1.76
75,30,27.5,250,IL,1.34
75,30,27.5,275,CL,0.69
75,30,27.5,275,EL,1.73
75,30,27.5,275,IL,1.31
75,30,27.5,300,CL,0.68
75,30,27.5,300,EL,1.7
75,30,27.5,300,IL,1.29
75,30,30,200,CL,0.75
75,30,30,200,EL,1.92
75,30,30,200,IL,1.49
75,30,30,225,CL,0.74
75,30,30,225,EL,1.89
75,30,30,225,IL,1.47
75,30,30,250,CL,0.74
75,30,30,250,EL,1.85
75,30,30,250,IL,1.44
75,30,30,275,CL,0.73
75,30,30,275,EL,1.82
75,30,30,275,IL,1.41
75,30,30,300,CL,0.73
75,30,30,300,EL,1.79
75,30,30,300,IL,1.39
75,35,20,200,CL,0.49
75,35,20,200,EL,1.3
75,35,20,200,IL,0.95
75,35,20,225,CL,0.49
75,35,20,225,EL,1.28
75,35,20,225,IL,0.93
75,35,20,250,CL,0.49
75,35,20,250,EL,1.26
75,35,20,250,IL,0.92
75,35,20,275,CL,0.48
75,35,20,275,EL,1.25
75,35,20,275,IL,0.9
75,35,20,300,CL,0.48
75,35,20,300,EL,1.23
75,35,20,300,IL,0.89
75,35,22.5,200,CL,0.49
75,35,22.5,200,EL,1.42
75,35,22.5,200,IL,1.04
75,35,22.5,225,CL,0.49
75,35,22.5,225,EL,1.39
75,35,22.5,225,IL,1.03
75,35,22.5,250,CL,0.49
75,35,22.5,250,EL,1.37
75,35,22.5,250,IL,1.01
75,35,22.5,275,CL,0.48
75,35,22.5,275,EL,1.35
75,35,22.5,275,IL,0.99
75,35,22.5,300,CL,0.48
75,35,22.5,300,EL,1.33
75,35,22.5,300,IL,0.98
